1984,George Orwell,1234,1,1990,Paperback,Dystopian,1,5,2
Atomic Habits,James Clear,9782,1,2017,Paperback,Motivational,9,5,0
Brave New,J.R.R ,3457,2,1990,Hard Cover,Fiction,2,7,3
Harry Potter,J.K Rowling,9780,1,2001,Paperback,Fantasy,2,5,1
Mathematics,Alexis Aspiras,1110,5,1997,Hardcover,Education,11,5,2
Mocking Bird,Harper Lee,1123,112,1990,Paperback,Fiction,8,7,4
Normal People,Sally Rooney,1681,2,2001,Paperback,Drama,13,7,2
Pride and Prejudice,Jane Austen,3142,1,1954,Hardcover,Romance,6,5,2
Space in Between,Laica Ygot,7730,2,2002,Paperback,Romance,6,2,1
The Cather,Rye Jay D,7760,2,1972,Hardcover,Comedy,5,7,3
The Earth,Abby Miles,0522,2,1877,Hardcover,Drama,13,4,1
The Lord of the Rings,J.R.R,4567,2,1994,Paperback,Fiction,2,5,1
World,Paulo Alcantara,0329,1,2001,Paperback,Fiction ,10,2,1
